  thresholds    SEN    FPR      FAR
------------  -----  -----  -------
        1.00   0.00   0.00     0.00
        0.99   0.00   0.00     0.00
        0.98   0.00   0.00     0.00
        0.97   0.00   0.00     0.00
        0.96   0.00   0.00     0.00
        0.95   0.00   0.00     0.00
        0.94   0.00   0.00     0.00
        0.93   0.00   0.00     0.00
        0.92   0.00   0.00     0.00
        0.91   0.00   0.00     0.00
        0.90   0.00   0.00     0.00
        0.80   0.00   0.00     0.00
        0.70   0.00   0.00     0.00
        0.60   0.00   0.00     0.00
        0.50   0.73   0.33   481.32
        0.40   1.00   1.00  1440.00
        0.30   1.00   1.00  1440.00
        0.20   1.00   1.00  1440.00
        0.01   1.00   1.00  1440.00
Average AUC:0.7056040753452728
Average delay:1.9385964912280702
